,Unnamed: 0,search_id,trip_index,received_date,received_ms,origin,destination,total_usd,pax_type,refundable,validating_carrier,departure_odate,departure_ms,outgoing_duration,outgoing_stops,return_odate,return_ms,returning_duration,returning_stops,major_carrier_id,total_stops,advance,length_of_stay,includes_saturday_night_stay,available_seats,lowest_cabin_class,highest_cabin_class
66,1482084,1ffc4787-d568-3778-9ea3-ca0b9f89ca57,81,2015-12-28,1451309388881,BOS,CUN,1141.41,ADT,,DL,2016-01-09,1452335820000,664,2,2016-01-09,1452395940000,833,2,DL,4,12,0,False,8,E,E
67,2784149,e145d1be-945e-3dd0-9fb1-4a351b9b9fad,17,2015-11-01,1446381481695,BOS,CUN,360.72,,,,2016-01-09,1452336300000,560,1,2016-01-23,1453530600000,925,2,DL,3,69,14,True,1,E,E
68,2174289,e177e4c5-5213-33ee-a5e5-f1f9a7340173,116,2016-06-23,1466718982836,BOS,CUN,436.24,ADT,,AA,2016-11-08,1478599200000,464,1,2016-11-15,1479240180000,600,1,AA,2,138,7,True,3,E,E
69,840592,731e7dae-e3de-3844-bf2e-9fedb5014d66,82,2016-01-23,1453538730207,BOS,CUN,642.29,ADT,,UA,2016-02-17,1455705180000,572,2,2016-02-22,1456164600000,586,1,UA,3,25,5,True,9,E,E
70,2565570,419054fe-8d17-30db-8d39-e6f1c394db3c,68,2016-06-30,1467301676017,BOS,CUN,592.24,ADT,,AA,2016-10-07,1475830800000,486,1,2016-10-12,1476305340000,494,1,AA,2,99,5,True,1,E,E
71,217377,470a8090-4840-3c94-a40f-0bf05770380d,22,2016-04-22,1461308746123,BOS,CUN,369.8,ADT,,UA,2016-07-09,1468100100000,1022,1,2016-07-15,1468615800000,1038,1,UA,2,78,6,True,9,E,E
72,2933222,eff637ba-1708-3a86-b6d0-53bd6f6ac64d,112,2016-03-25,1458945270408,BOS,CUN,689.69,ADT,,AA,2016-03-28,1459186200000,550,1,2016-04-01,1459548600000,414,1,AA,2,3,4,False,3,E,E
73,2531867,cb94e1ca-1834-3a5e-8427-7cf74c395d96,58,2015-10-10,1444522279640,BOS,CUN,411.24,,,,2016-03-15,1458044700000,590,1,2016-03-22,1458663000000,493,1,DL,2,157,7,True,9,E,E
74,2698849,c7979795-25c3-381b-90d2-a825d95ff0dd,37,2016-10-31,1477937445583,BOS,CUN,652.44,ADT,,AA,2016-11-23,1479932700000,1180,1,2016-11-28,1480344240000,1467,1,AA,2,23,5,True,3,E,E
75,1679420,f22dcc51-cc87-35b3-b136-748fb67b4917,16,2015-10-08,1444278825060,BOS,CUN,451.24,,,,2016-05-15,1463324400000,586,1,2016-05-21,1463856000000,583,1,DL,2,220,6,False,4,E,E
